Day,Remaining Pool (Qube),Daily Ticket Sales,Daily Rewards Paid,Qube Price ($),Penalty Contributions
1272,11133096.794386659,100000,1992.2055082572635,2.138468861587367e+104,199.22055082572638
1273,11129267.602250062,100000,1991.8469112657772,2.9460827586986663e+104,199.18469112657772
1274,11125438.410113467,100000,1991.4883788217494,4.059030048374941e+104,199.14883788217494
1275,11121609.217976872,100000,1991.1299109135616,5.592872169090096e+104,199.11299109135618
1276,11117780.025840275,100000,1990.7715075295973,7.70695483318672e+104,199.07715075295974
1277,11113950.833703678,100000,1990.4131686582416,1.0621014920798788e+105,199.04131686582417
1278,11110121.641567083,100000,1990.0548942878831,1.46380929125508e+105,199.00548942878834
1279,11106292.449430488,100000,1989.6966844069118,2.0176147584959574e+105,198.96966844069118
1280,11102463.257293891,100000,1989.3385390037183,2.7811681649433466e+105,198.93385390037184
1281,11098634.065157294,100000,1988.9804580666978,3.833994634066064e+105,198.89804580666978
1282,11094804.8730207,100000,1988.6224415842455,5.28580321062628e+105,198.86224415842457
1283,11090975.680884104,100000,1988.2644895447604,7.287955452833222e+105,198.82644895447606
1284,11087146.488747507,100000,1987.9066019366428,1.004929623071312e+106,198.79066019366428
1285,11083317.296610912,100000,1987.5487787482937,1.385800770309106e+106,198.7548778748294
1286,11079488.104474317,100000,1987.1910199681188,1.9111780552835756e+106,198.7191019968119
1287,11075658.91233772,100000,1986.833325584525,2.6359471240802808e+106,198.68333255845252
1288,11071829.720201124,100000,1986.4756955859198,3.635862256675046e+106,198.64756955859198
1289,11068000.528064528,100000,1986.1181299607142,5.015489475640124e+106,198.61181299607142
1290,11064171.335927933,100000,1985.7606286973214,6.9191761971253284e+106,198.57606286973214
1291,11060342.143791337,100000,1985.403191784156,9.546201837226143e+106,198.54031917841561
1292,11056512.95165474,100000,1985.0458192096348,1.3171704577680802e+107,198.5045819209635
1293,11052683.759518147,100000,1984.6885109621767,1.8175588769868828e+107,198.4688510962177
1294,11048854.56738155,100000,1984.331267030204,2.5082459682644827e+107,198.4331267030204
1295,11045025.375244953,100000,1983.9740874021384,3.461679663789414e+107,198.39740874021385
1296,11041196.183108358,100000,1983.6169720664057,4.777918534899491e+107,198.36169720664057
1297,11037366.990971763,100000,1983.259921011434,6.595165606566692e+107,198.3259921011434
1298,11033537.798835166,100000,1982.902934225652,9.104325191326114e+107,198.2902934225652
1299,11029708.606698569,100000,1982.5460116974918,1.256912080658564e+108,198.2546011697492
1300,11025879.414561974,100000,1982.189153415386,1.7353900880891854e+108,198.2189153415386
1301,11022050.222425379,100000,1981.8323593677715,2.3962073113973244e+108,198.18323593677715
1302,11018221.030288782,100000,1981.475629543085,3.308923452133274e+108,198.1475629543085
1303,11014391.838152187,100000,1981.1189639297668,4.569662206006247e+108,198.1118963929767
1304,11010562.646015592,100000,1980.76236251626,6.31126639564158e+108,198.07623625162603
1305,11006733.453878995,100000,1980.4058252910072,8.71733937299576e+108,198.04058252910073
1306,11002904.261742398,100000,1980.0493522424547,1.2041661482995984e+109,198.0049352242455
1307,10999075.069605803,100000,1979.6929433590512,1.6635041315492568e+109,197.96929433590515
1308,10995245.877469208,100000,1979.3365986292463,2.2982451583120494e+109,197.93365986292463
1309,10991416.685332611,100000,1978.9803180414929,3.175439297378623e+109,197.8980318041493
1310,10987587.493196014,100000,1978.6241015842459,4.38779428638842e+109,197.8624101584246
1311,10983758.30105942,100000,1978.2679492459604,6.063504084419989e+109,197.82679492459604
1312,10979929.108922824,100000,1977.911861015096,8.379846326936492e+109,197.79118610150962
1313,10976099.916786227,100000,1977.5558368801132,1.1581995427163997e+110,197.75558368801134
1314,10972270.724649632,100000,1977.1998768294748,1.600905399606536e+110,197.71998768294748
1315,10968441.532513037,100000,1976.8439808516455,2.2130075023729108e+110,197.68439808516456
1316,10964612.34037644,100000,1976.4881489350919,3.059391321937648e+110,197.6488148935092
1317,10960783.148239844,100000,1976.1323810682836,4.229822012489697e+110,197.61323810682836
1318,10956953.956103249,100000,1975.7766772396915,5.848494216201397e+110,197.57766772396917
1319,10953124.763966653,100000,1975.4210374377888,8.087251267063637e+110,197.54210374377888
1320,10949295.571830057,100000,1975.0654616510496,1.1183885176579533e+111,197.50654616510496
1321,10945466.37969346,100000,1974.7099498679527,1.5467472212817892e+111,197.4709949867953
1322,10941637.187556867,100000,1974.3545020769766,2.139345176628713e+111,197.43545020769767
1323,10937807.99542027,100000,1973.9991182666029,2.959219934337311e+111,197.3999118266603
1324,10933978.803283673,100000,1973.6437984253146,4.0936289963969606e+111,197.36437984253146
1325,10930149.611147078,100000,1973.288542541598,5.663365126546765e+111,197.3288542541598
1326,10926320.419010483,100000,1972.9333506039402,7.835658154573796e+111,197.29333506039404
1327,10922491.226873886,100000,1972.5782226008316,1.0842045535803057e+112,197.25782226008317
1328,10918662.034737289,100000,1972.2231585207637,1.500312720802643e+112,197.22231585207638
1329,10914832.842600694,100000,1971.8681583522296,2.076285952129405e+112,197.18681583522297
1330,10911003.650464099,100000,1971.5132220837263,2.87360678209866e+112,197.15132220837265
1331,10907174.458327502,100000,1971.1583497037511,3.97742780726648e+112,197.11583497037512
1332,10903345.266190907,100000,1970.8035412008046,5.505693790706086e+112,197.08035412008047
1333,10899516.074054312,100000,1970.4487965633887,7.6217829125507394e+112,197.04487965633888
1334,10895686.881917715,100000,1970.0941157800073,1.0552026183092536e+113,197.00941157800074
1335,10891857.689781118,100000,1969.7394988391666,1.4609989393708622e+113,196.97394988391667
1336,10888028.497644523,100000,1969.3849457293754,2.023013063602189e+113,196.93849457293754
1337,10884199.305507928,100000,1969.0304564391438,2.8014457120086002e+113,196.9030456439144
1338,10880370.113371331,100000,1968.6760309569847,3.879720705194073e+113,196.86760309569848
1339,10876540.921234734,100000,1968.3216692714127,5.373452736058708e+113,196.8321669271413
1340,10872711.72909814,100000,1967.9673713709435,7.442881660920744e+113,196.79673713709437
1341,10868882.536961544,100000,1967.6131372440968,1.0310114669695075e+114,196.7613137244097
1342,10865053.344824947,100000,1967.2589668793933,1.428303726010378e+114,196.72589668793933
1343,10861224.152688352,100000,1966.9048602653547,1.9788474958121265e+114,196.6904860265355
1344,10857394.960551757,100000,1966.5508173905073,2.7418188386143694e+114,196.65508173905073
1345,10853565.76841516,100000,1966.196838243377,3.7992673148774805e+114,196.6196838243377
1346,10849736.576278564,100000,1965.8429228124933,5.264966384277645e+114,196.58429228124933
1347,10845907.384141969,100000,1965.4890710863872,7.296691766731824e+114,196.54890710863873
1348,10842078.192005374,100000,1965.1352830535916,1.011325683883487e+115,196.51352830535916
1349,10838248.999868777,100000,1964.781558702642,1.4018149967022936e+115,196.47815587026423
1350,10834419.80773218,100000,1964.427898022076,1.9432334903483437e+115,196.4427898022076
1351,10830590.615595585,100000,1964.0743010004321,2.6939769927767214e+115,196.40743010004323
1352,10826761.42345899,100000,1963.720767626252,3.735058257778229e+115,196.3720767626252
1353,10822932.231322393,100000,1963.367297888079,5.178875500992217e+115,196.33672978880793
1354,10819103.039185798,100000,1963.0138917744594,7.1813839284223285e+115,196.30138917744594
1355,10815273.847049203,100000,1962.66054927394,9.958992264939087e+115,196.266054927394
1356,10811444.654912606,100000,1962.3072703750706,1.3812020386574366e+116,196.23072703750708
1357,10807615.462776009,100000,1961.9540550664035,1.915726837714676e+116,196.19540550664036
1358,10803786.270639414,100000,1961.6009033364915,2.6573239645112595e+116,196.16009033364915
1359,10799957.078502819,100000,1961.247815173891,3.686293954378956e+116,196.12478151738912
1360,10796127.886366222,100000,1960.8947905671598,5.1141086920670325e+116,196.089479056716
1361,10792298.694229625,100000,1960.5418295048578,7.095523866912272e+116,196.0541829504858
1362,10788469.502093032,100000,1960.188931975547,9.845402793709956e+116,196.0188931975547
1363,10784640.309956435,100000,1959.8360979677914,1.3662086016637797e+117,195.98360979677915
1364,10780811.117819838,100000,1959.4833274701575,1.8959856078679756e+117,195.94833274701577
1365,10776981.925683243,100000,1959.1306204712128,2.6314040740721974e+117,195.9130620471213
1366,10773152.733546648,100000,1958.7779769595277,3.652367970572076e+117,195.87779769595278
1367,10769323.541410051,100000,1958.4253969236752,5.069860106067812e+117,195.84253969236752
1368,10765494.349273454,100000,1958.0728803522288,7.038042495614843e+117,195.80728803522288
1369,10761665.15713686,100000,1957.7204272337658,9.771072670016113e+117,195.7720427233766
1370,10757835.965000264,100000,1957.3680375568638,1.356647573641526e+118,195.7368037556864
1371,10754006.772863667,100000,1957.0157113101031,1.8837630473404714e+118,195.70157113101033
1372,10750177.580727072,100000,1956.6634484820677,2.615892707156494e+118,195.6663448482068
1373,10746348.388590477,100000,1956.3112490613407,3.6328544207853354e+118,195.6311249061341
1374,10742519.19645388,100000,1955.9591130365097,5.045572690938756e+118,195.59591130365098
1375,10738690.004317284,100000,1955.607040396163,7.008213697851094e+118,195.56070403961633
1376,10734860.812180689,100000,1955.2550311288917,9.735059089504309e+118,195.52550311288917
1377,10731031.620044094,100000,1954.9030852232881,1.3523970850435434e+119,195.49030852232883
1378,10727202.427907497,100000,1954.5512026679485,1.8789024357828194e+119,195.45512026679486
1379,10723373.2357709,100000,1954.199383451468,2.6105895382607748e+119,195.41993834514682
1380,10719544.043634305,100000,1953.847627562447,3.6274990606095174e+119,195.38476275624473
1381,10715714.85149771,100000,1953.4959349894862,5.040926516769523e+119,195.34959349894862
1382,10711885.659361113,100000,1953.1443057211882,7.005639063682353e+119,195.31443057211882
1383,10708056.467224518,100000,1952.7927397461583,9.736872314913824e+119,195.27927397461585
1384,10704227.275087923,100000,1952.4412370530042,1.3533979283961232e+120,195.24412370530044
1385,10700398.082951326,100000,1952.0897976303343,1.8813337516721734e+120,195.20897976303343
1386,10696568.890814729,100000,1951.7384214667609,2.61541424400223e+120,195.1738421466761
1387,10692739.698678134,100000,1951.3871085508972,3.6362138080509377e+120,195.13871085508973
1388,10688910.506541539,100000,1951.0358588713575,5.055831822040892e+120,195.10358588713575
1389,10685081.314404942,100000,1950.6846724167608,7.03023913735785e+120,195.0684672416761
1390,10681252.122268345,100000,1950.3335491757255,9.776464770874285e+120,195.03335491757255
1391,10677422.93013175,100000,1949.982489136874,1.359652216657707e+121,194.9982489136874
1392,10673593.737995155,100000,1949.6314922888296,1.8910720481854915e+121,194.96314922888297
1393,10669764.545858558,100000,1949.2805586202176,2.630404578532868e+121,194.92805586202178
1394,10665935.353721963,100000,1948.929688119666,3.659074529057884e+121,194.89296881196663
1395,10662106.161585368,100000,1948.5788807758045,5.090426573320839e+121,194.85788807758047
1396,10658276.969448771,100000,1948.2281365772649,7.08225090879345e+121,194.8228136577265
1397,10654447.777312174,100000,1947.877455512681,9.854228781560449e+121,194.78774555126813
1398,10650618.58517558,100000,1947.526837570689,1.3712232385574752e+122,194.7526837570689
1399,10646789.393038984,100000,1947.1762827399264,1.9082174877228802e+122,194.71762827399266
1400,10642960.200902387,100000,1946.8257910090333,2.655716748605206e+122,194.68257910090335
1401,10639131.008765792,100000,1946.4753623666516,3.696322013183912e+122,194.64753623666516
1402,10635301.816629197,100000,1946.1249968014258,5.14507845285386e+122,194.6124996801426
1403,10631472.6244926,100000,1945.7746943020015,7.162231454351514e+122,194.57746943020015
1404,10627643.432356004,100000,1945.4244548570275,9.971002853015038e+122,194.54244548570276
1405,10623814.240219409,100000,1945.074278455153,1.3882365019033158e+123,194.5074278455153
1406,10619985.048082814,100000,1944.7241650850312,1.9329570289842844e+123,194.47241650850313
1407,10616155.855946217,100000,1944.3741147353157,2.69162808873027e+123,194.4374114735316
1408,10612326.66380962,100000,1944.0241273946635,3.74836615237477e+123,194.40241273946637
1409,10608497.471673025,100000,1943.6742030517325,5.2203913092819753e+123,194.36742030517325
1410,10604668.27953643,100000,1943.3243416951832,7.271067799791813e+123,194.33243416951834
1411,10600839.087399833,100000,1942.9745433136782,1.012808663465597e+124,194.29745433136782
1412,10597009.895263238,100000,1942.6248078958815,1.410881988181886e+124,194.26248078958815
1413,10593180.703126643,100000,1942.27513543046,1.9655678054601694e+124,194.22751354304603
1414,10589351.510990046,100000,1941.9255259060826,2.7385420994236744e+124,194.19255259060827
